"ensembl"	"hgnc_symbol"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Entrez"
"ENSG00000064300"	"ENSG00000064300"	"NGFR"	615,706431220423	-2,01459084404404	0,167990890920809	-10,0873972080002	6,2812929734232e-24	2,37572458683695e-21	"4804"
"ENSG00000133067"	"ENSG00000133067"	"LGR6"	1572,40796417552	-1,65674949685309	0,133755131364114	-9,99400533811398	1,61904428129033e-23	5,95808295514843e-21	"59352"
"ENSG00000071054"	"ENSG00000071054"	"MAP4K4"	4871,37223836725	1,31799934573982	0,101715882680551	9,81163727275651	1,00327312366295e-22	3,59488601363019e-20	"9448"
"ENSG00000184009"	"ENSG00000184009"	"ACTG1"	45901,6902399605	1,91805438316163	0,163793149716089	9,7565397938291	1,72955785136186e-22	6,03837428311362e-20	"71"
"ENSG00000198648"	"ENSG00000198648"	"STK39"	1386,39399353259	1,46664259750263	0,117767786922751	9,73647062124689	2,10746958025276e-22	7,17382645118038e-20	"27347"
"ENSG00000074416"	"ENSG00000074416"	"MGLL"	1727,77588230116	1,66912669080939	0,138658903980192	9,72982370466537	2,24982536764977e-22	7,47161517217542e-20	"11343"
"ENSG00000198959"	"ENSG00000198959"	"TGM2"	2423,97386380001	2,10765439242084	0,184033790270001	9,71372914614281	2,63515631735176e-22	8,54292581358609e-20	"7052"
"ENSG00000057019"	"ENSG00000057019"	"DCBLD2"	15076,5782274859	1,50187595184224	0,122453241260888	9,65165102754809	4,83705931969287e-22	1,53166045806833e-19	"131566"
"ENSG00000154153"	"ENSG00000154153"	"RETREG1"	846,463765735323	-1,67154759512361	0,140723398991129	-9,60428475159853	7,66885077884221e-22	2,37316073192535e-19	"54463"
"ENSG00000128512"	"ENSG00000128512"	"DOCK4"	360,500182945227	2,26866443687276	0,203563457932847	9,57276151948446	1,04087594149682e-21	3,11977765642672e-19	"9732"
"ENSG00000137819"	"ENSG00000137819"	"PAQR5"	504,332300123516	2,20023272135462	0,196441406500612	9,57146843350853	1,053978937982e-21	3,11977765642672e-19	"54852"
"ENSG00000214357"	"ENSG00000214357"	"NEURL1B"	744,09746936693	-1,63211925881638	0,138082076890483	-9,50245888796313	2,0499164138296e-21	5,93865146610718e-19	"54492"
"ENSG00000138678"	"ENSG00000138678"	"GPAT3"	698,015053870676	1,86842593877622	0,163742313070202	9,45648018366735	3,18483570927566e-21	9,03431729531195e-19	"84803"
"ENSG00000183421"	"ENSG00000183421"	"RIPK4"	1972,9911150216	-1,51592292509944	0,127532255464708	-9,37741531145736	6,7609745960501e-21	1,8787230632616e-18	"54101"
"ENSG00000162552"	"ENSG00000162552"	"WNT4"	273,567920041622	-2,84147200705796	0,271131721008913	-9,29980452923497	1,40704120093558e-20	3,83165459838776e-18	"54361"
"ENSG00000198286"	"ENSG00000198286"	"CARD11"	569,26234904763	1,69593456262906	0,148412867645662	9,27099236377623	1,84421981851058e-20	4,92370530369414e-18	"84433"
"ENSG00000137699"	"ENSG00000137699"	"TRIM29"	4246,1410934798	-1,5595075540108	0,134791553704805	-9,1957360824354	3,72435851935641e-20	9,75208953837632e-18	"23650"
"ENSG00000103257"	"ENSG00000103257"	"SLC7A5"	24772,2146389354	-1,41797263044144	0,119661263991186	-9,17567301079421	4,48762358524622e-20	1,15289590069269e-17	"8140"
"ENSG00000112984"	"ENSG00000112984"	"KIF20A"	1361,13734859156	-1,43989740674247	0,122142609985804	-9,16876925155467	4,78450162993808e-20	1,20640322580068e-17	"10112"
"ENSG00000197632"	"ENSG00000197632"	"SERPINB2"	8105,28009064142	2,28846313034119	0,215724230973636	9,12490507652685	7,17991515500238e-20	1,77748590455477e-17	"5055"
"ENSG00000161638"	"ENSG00000161638"	"ITGA5"	2077,93852097304	1,32725268935176	0,110457027665325	9,11895522305423	7,58520137349109e-20	1,84428753395455e-17	"3678"
"ENSG00000184292"	"ENSG00000184292"	"TACSTD2"	5296,55512245641	-1,75838852464743	0,157843099614925	-9,11277419257813	8,03018234074679e-20	1,91822741669488e-17	"4070"
"ENSG00000117143"	"ENSG00000117143"	"UAP1"	3415,58403127396	1,46067434127958	0,12523648497272	9,10816318046649	8,37884703040685e-20	1,96700657182792e-17	"6675"
"ENSG00000008513"	"ENSG00000008513"	"ST3GAL1"	2031,80535243751	1,43563685619259	0,122572685819482	9,10183903317286	8,88149980364055e-20	2,04966951400627e-17	"6482"
"ENSG00000132274"	"ENSG00000132274"	"TRIM22"	1711,35608310739	-1,86733922398515	0,170624583686501	-9,06867691954735	1,20470929932998e-19	2,73388696994617e-17	"10346"
"ENSG00000039560"	"ENSG00000039560"	"RAI14"	3437,15629310465	1,33420565298722	0,113323584178274	8,94964327453438	3,56632973776244e-19	7,83212027570539e-17	"26064"
"ENSG00000196611"	"ENSG00000196611"	"MMP1"	163,142386983131	3,08779396883277	0,309240325641503	8,95030091269995	3,54514616096355e-19	7,83212027570539e-17	"4312"
"ENSG00000120129"	"ENSG00000120129"	"DUSP1"	1706,99713507248	-1,68127904355591	0,152155519065849	-8,94662942174831	3,66502160484032e-19	7,92110066214377e-17	"1843"
"ENSG00000101311"	"ENSG00000101311"	"FERMT1"	1647,20164352358	1,39215597139693	0,120528377010113	8,89546510119334	5,81751372618312e-19	1,23767604524546e-16	"55612"
"ENSG00000079215"	"ENSG00000079215"	"SLC1A3"	4460,05064098487	-1,42339486796664	0,124120019574462	-8,88974133060538	6,1251332779885e-19	1,2830740725091e-16	"6507"
"ENSG00000167074"	"ENSG00000167074"	"TEF"	427,232225087737	-1,92349668709322	0,180855918491803	-8,866155448299	7,57147539767394e-19	1,56201831840497e-16	"7008"
"ENSG00000164342"	"ENSG00000164342"	"TLR3"	175,587518183874	-2,59700018574934	0,257179200764225	-8,85374936613489	8,46273066101453e-19	1,71982896537871e-16	"7098"
"ENSG00000111145"	"ENSG00000111145"	"ELK3"	470,263294487869	1,80845960203259	0,169019616056071	8,80643109222785	1,2919346267412e-18	2,58690909966296e-16	"2004"
"ENSG00000100100"	"ENSG00000100100"	"PIK3IP1"	160,086873958229	-2,56095070149768	0,254639981145451	-8,80046680579055	1,36248214016663e-18	2,65698284968187e-16	"113791"
"ENSG00000164171"	"ENSG00000164171"	"ITGA2"	5549,70145448098	1,36017134731496	0,118198859505836	8,80018091260515	1,36595769299156e-18	2,65698284968187e-16	"3673"
"ENSG00000145632"	"ENSG00000145632"	"PLK2"	2645,61169596257	-1,31384855698336	0,113311625085211	-8,77093198721645	1,7719345722179e-18	3,39812128666464e-16	"10769"
"ENSG00000142583"	"ENSG00000142583"	"SLC2A5"	124,998614553587	-3,73556665150931	0,391281103205606	-8,72918887093441	2,5650555975873e-18	4,85080514121509e-16	"6518"
"ENSG00000058085"	"ENSG00000058085"	"LAMC2"	24865,1353185682	1,28564448861911	0,110682941736954	8,72442016326271	2,6754796894374e-18	4,99031937690133e-16	"3918"
"ENSG00000185745"	"ENSG00000185745"	"IFIT1"	3027,47386061446	-1,9836667687103	0,191378076690273	-8,69308960295794	3,52713982667677e-18	6,48993728108525e-16	"3434"
"ENSG00000133657"	"ENSG00000133657"	"ATP13A3"	13615,1938176544	1,26523549334276	0,109390708526964	8,64091206713195	5,57660269115205e-18	1,01241362990302e-15	"79572"
"ENSG00000176170"	"ENSG00000176170"	"SPHK1"	606,025029911802	1,92046355956241	0,185796387351467	8,61407254671131	7,0510036714759e-18	1,26324297356337e-15	"8877"
"ENSG00000170345"	"ENSG00000170345"	"FOS"	365,882598988629	-1,88985028624978	0,183169274618084	-8,57048918014762	1,03046367030368e-17	1,82218095257856e-15	"2353"
"ENSG00000204767"	"ENSG00000204767"	"INSYN2B"	345,549943357113	2,07432340441565	0,204800008314632	8,56603190035277	1,07112223464905e-17	1,86979491627968e-15	"100131897"
"ENSG00000164619"	"ENSG00000164619"	"BMPER"	536,246833562611	1,90031753492134	0,185416602672897	8,52306380410421	1,55387129313004e-17	2,67816601610869e-15	"168667"
"ENSG00000142871"	"ENSG00000142871"	"CCN1"	4268,48303358091	-1,40514930372697	0,127481473350572	-8,51221181561673	1,70646481940035e-17	2,9044031226194e-15	"3491"
"ENSG00000101670"	"ENSG00000101670"	"LIPG"	422,555034014648	2,00460162499369	0,198707832752274	8,47778168409624	2,29528145208098e-17	3,85833978414008e-15	"9388"
"ENSG00000135318"	"ENSG00000135318"	"NT5E"	1957,53677044584	1,44285213286441	0,132490061943621	8,47499137967209	2,35096944717161e-17	3,90375609666934e-15	"4907"
"ENSG00000134215"	"ENSG00000134215"	"VAV3"	163,798411173808	-2,38870578285926	0,246911845383763	-8,37831728827741	5,36897480171981e-17	8,80770613255626e-15	"10451"
"ENSG00000103647"	"ENSG00000103647"	"CORO2B"	196,487298063622	2,27298341265282	0,235165085680872	8,30473370227707	1,00043570063479e-16	1,62165863093372e-14	"10391"
"ENSG00000131016"	"ENSG00000131016"	"AKAP12"	659,987091503551	2,15493905653389	0,22160551609783	8,28020479293411	1,22963630575472e-16	1,96973269872427e-14	"9590"
