"ensembl"	"hgnc_symbol"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000213145"	"ENSG00000213145"	"CRIP1"	974,624070624789	-1,46977574101356	0,120638427907315	-9,53075865591448	1,56137959396981e-21	5,64849612586919e-19
"ENSG00000180747"	"ENSG00000180747"	"SMG1P3"	955,606651385214	1,39663883272492	0,114398686308233	9,41128668054847	4,90100086693662e-21	1,72753997225071e-18
"ENSG00000170275"	"ENSG00000170275"	"CRTAP"	1242,18711470201	-1,22197249038675	0,0960521248807996	-9,39044806667313	5,97455499401503e-21	2,05330518756811e-18
"ENSG00000141753"	"ENSG00000141753"	"IGFBP4"	7491,4466579756	-1,06689614105124	0,0802248344797314	-9,31003654784659	1,2778837028311e-20	4,28465055190711e-18
"ENSG00000186185"	"ENSG00000186185"	"KIF18B"	139,131357161301	-2,79103362791083	0,266582212642891	-9,26931171968695	1,87350958449848e-20	6,13217529954777e-18
"ENSG00000134954"	"ENSG00000134954"	"ETS1"	12157,3126197395	1,13960787238102	0,0898209355770217	9,12490909959628	7,17964849059302e-20	2,29531692558563e-17
"ENSG00000133657"	"ENSG00000133657"	"ATP13A3"	4656,71740791602	0,960943793129101	0,0713699933638087	8,98057801213304	2,69347997145791e-19	8,41528844718907e-17
"ENSG00000013810"	"ENSG00000013810"	"TACC3"	254,710592968032	-1,965613072751	0,186272443693143	-8,83444185368562	1,00599271563656e-18	3,07319596930127e-16
"ENSG00000002834"	"ENSG00000002834"	"LASP1"	8567,79394396398	-0,910746666687495	0,0669449665533677	-8,82436271316319	1,1008488819764e-18	3,28986295228905e-16
"ENSG00000177156"	"ENSG00000177156"	"TALDO1"	1424,53930343861	-1,25413937175569	0,105898616370571	-8,8210724915126	1,13368591615253e-18	3,31591069986146e-16
"ENSG00000131480"	"ENSG00000131480"	"AOC2"	482,884968599135	1,68675958637958	0,155506660444804	8,78907425874986	1,50797371558442e-18	4,31877388919562e-16
"ENSG00000112414"	"ENSG00000112414"	"ADGRG6"	5593,91500888941	-0,917279851968914	0,0684960410085262	-8,71991786933447	2,78403660304522e-18	7,81064309838012e-16
"ENSG00000228716"	"ENSG00000228716"	"DHFR"	207,157467252978	-2,16373018685989	0,212851907621238	-8,66203271309525	4,63425312787319e-18	1,27414155497745e-15
"ENSG00000134057"	"ENSG00000134057"	"CCNB1"	583,420078244271	-1,50125817407114	0,13718122283615	-8,61093194570836	7,24690029860339e-18	1,95339487068433e-15
"ENSG00000198901"	"ENSG00000198901"	"PRC1"	782,690405401142	-1,30191922564909	0,114399025399441	-8,58328313742687	9,22030401212476e-18	2,43752921643614e-15
"ENSG00000090889"	"ENSG00000090889"	"KIF4A"	241,30097408177	-2,05443373812167	0,203475000195282	-8,52406308616326	1,54051653001273e-17	3,99575108265755e-15
"ENSG00000117724"	"ENSG00000117724"	"CENPF"	2064,33248968748	-1,2358240939904	0,107861422625965	-8,49074740249099	2,05312384424772e-17	5,22672101608767e-15
"ENSG00000160211"	"ENSG00000160211"	"G6PD"	3411,35373881804	-2,03916112084783	0,202764562628963	-8,47860739844224	2,27905310539314e-17	5,69638964360718e-15
"ENSG00000066279"	"ENSG00000066279"	"ASPM"	444,346500536523	-1,64033217704856	0,156034407813305	-8,461801442079	2,6327850933e-17	6,46301726385627e-15
"ENSG00000064042"	"ENSG00000064042"	"LIMCH1"	569,359689631696	-1,78148867154373	0,173160864606257	-8,4400633761384	3,17165647637584e-17	7,64925641767344e-15
"ENSG00000143228"	"ENSG00000143228"	"NUF2"	102,853474985923	-3,01223868139361	0,320199360957664	-8,40800766541684	4,17033901811039e-17	9,88442249689027e-15
"ENSG00000138160"	"ENSG00000138160"	"KIF11"	565,620045302566	-1,39529904064932	0,128416849835559	-8,37350427164557	5,59296567942064e-17	1,30316100330501e-14
"ENSG00000117399"	"ENSG00000117399"	"CDC20"	139,579840846261	-2,46623338739201	0,256849112373083	-8,35600858248062	6,48759921472781e-17	1,46204961319448e-14
"ENSG00000171848"	"ENSG00000171848"	"RRM2"	207,730512474562	-2,13648688597123	0,217341594642824	-8,35775079757014	6,39253028534252e-17	1,46204961319448e-14
"ENSG00000198074"	"ENSG00000198074"	"AKR1B10"	4960,6475395405	-2,62894146620224	0,276582360936652	-8,34811539818721	6,93607899786524e-17	1,53790770941376e-14
"ENSG00000163931"	"ENSG00000163931"	"TKT"	10158,3248482396	-0,951464938598696	0,0758187697191906	-8,3286096693134	8,17972751806155e-17	1,78486847921892e-14
"ENSG00000162601"	"ENSG00000162601"	"MYSM1"	1295,17740939613	1,12313604195502	0,0966657813982353	8,30837997001577	9,70174430688572e-17	2,08390435916809e-14
"ENSG00000108448"	"ENSG00000108448"	"TRIM16L"	1072,32221308141	-1,2021970365668	0,106823920118172	-8,25842222969246	1,47610591733625e-16	3,12185046855714e-14
"ENSG00000109805"	"ENSG00000109805"	"NCAPG"	231,241386118142	-2,05729138660018	0,210491709697891	-8,25349078637649	1,53833739627028e-16	3,20417033129205e-14
"ENSG00000240602"	"ENSG00000240602"	"AADACP1"	1339,38879574164	1,21072027089849	0,108259979133492	8,22760430980849	1,90994788647405e-16	3,91881396945654e-14
"ENSG00000059728"	"ENSG00000059728"	"MXD1"	2932,60185240187	0,98389128605107	0,0809725143013124	8,1989708702958	2,42453663956391e-16	4,90148605648311e-14
"ENSG00000184205"	"ENSG00000184205"	"TSPYL2"	934,841985380806	1,24641508016627	0,113018654596065	8,19701033849082	2,46439258259599e-16	4,90985577289088e-14
"ENSG00000140941"	"ENSG00000140941"	"MAP1LC3B"	8540,98972285493	0,899613844376682	0,0708192684868325	8,18440880230852	2,73643675804818e-16	5,37397087326976e-14
"ENSG00000137804"	"ENSG00000137804"	"NUSAP1"	348,950255485552	-1,68350490570055	0,166924302776675	-8,16840258140696	3,12499592197657e-16	6,05060830132561e-14
"ENSG00000010818"	"ENSG00000010818"	"HIVEP2"	1595,85966298823	1,07306991404156	0,0925138445896451	8,14007803244891	3,95023221153467e-16	7,54220030721765e-14
"ENSG00000187134"	"ENSG00000187134"	"AKR1C1"	1005,6053011365	-1,57255318665318	0,154452964332778	-8,10960923970666	5,07828073680007e-16	9,56316784777954e-14
"ENSG00000126787"	"ENSG00000126787"	"DLGAP5"	211,409920365885	-1,94801977261687	0,200827119853661	-8,1065733243756	5,20673023920487e-16	9,67255683761478e-14
"ENSG00000169554"	"ENSG00000169554"	"ZEB2"	874,77216858825	1,19563681058126	0,108205986287585	8,09231393403714	5,85417888877114e-16	1,07303196245249e-13
"ENSG00000140297"	"ENSG00000140297"	"GCNT3"	613,050922036774	-1,44372729341443	0,139026756132016	-8,0828131553855	6,32895534715123e-16	1,1447914362801e-13
"ENSG00000161800"	"ENSG00000161800"	"RACGAP1"	720,753560998804	-1,26086902138666	0,118102949562669	-7,96651586493529	1,63210543589012e-15	2,91383810742617e-13
"ENSG00000123094"	"ENSG00000123094"	"RASSF8"	476,346981869443	1,44827681991719	0,141669762347295	7,96413293297751	1,66386313130269e-15	2,93245211102796e-13
"ENSG00000117984"	"ENSG00000117984"	"CTSD"	2897,85540592352	-1,02350490940549	0,0884281263588794	-7,95566906563599	1,7816604387559e-15	3,10031469007308e-13
"ENSG00000168078"	"ENSG00000168078"	"PBK"	130,527684493883	-2,40945149708514	0,263471571436525	-7,93046280360662	2,1833069853017e-15	3,75174014086781e-13
"ENSG00000058085"	"ENSG00000058085"	"LAMC2"	5286,27854833074	1,79208812377098	0,185923630506269	7,91770319761127	2,41938040846806e-15	4,10607684879141e-13
"ENSG00000165494"	"ENSG00000165494"	"PCF11"	3476,18653513728	0,942582781996296	0,0787386876361372	7,90694893053514	2,63773769134114e-15	4,42207073693496e-13
"ENSG00000088325"	"ENSG00000088325"	"TPX2"	1546,87211881834	-1,20241481059849	0,111855890980108	-7,88885415749282	3,0497366982418e-15	5,05117233623254e-13
"ENSG00000225614"	"ENSG00000225614"	"ZNF469"	1302,00833542375	1,11653861181636	0,101310572520332	7,86234439309382	3,77009767016731e-15	6,16994436568929e-13
"ENSG00000138180"	"ENSG00000138180"	"CEP55"	256,772606797153	-1,77638516877557	0,185438971208955	-7,85371682813366	4,03885617108429e-15	6,53201832751715e-13
"ENSG00000175471"	"ENSG00000175471"	"MCTP1"	1243,34973426352	1,08060908338213	0,0969042109854096	7,84908184739932	4,19094056471562e-15	6,69916976083088e-13
"ENSG00000152413"	"ENSG00000152413"	"HOMER1"	733,405901285365	1,37199025941945	0,134204748413576	7,83869625967	4,55248261315225e-15	7,19344580264413e-13
"ENSG00000175063"	"ENSG00000175063"	"UBE2C"	192,463683547098	-2,11857349162023	0,230969280292991	-7,78706800029291	6,85820460747092e-15	1,07136066748753e-12
"ENSG00000122641"	"ENSG00000122641"	"INHBA"	281,152948842327	1,86794114637528	0,198863039612871	7,7839559798979	7,02912241515562e-15	1,08572298697915e-12
"ENSG00000136205"	"ENSG00000136205"	"TNS3"	1663,2036355989	-1,30493175681616	0,126577566678926	-7,78125052217597	7,18111285744811e-15	1,09687509390377e-12
"ENSG00000178999"	"ENSG00000178999"	"AURKB"	71,4633461253964	-3,6757303743193	0,431896329228207	-7,76975896117466	7,86356207997927e-15	1,18791635069753e-12
